mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
offset,write,a0,1024,65536,1,1,1024,1024,16,16,60678.0,2374.5,3792.375,0.0,489.7232142857143,8410.232142857143,
offset,write,a0,2048,65536,1,1,2048,2048,16,16,55237.5,160.5,3452.34375,0.0,489.6517857142857,-2491.7053571428573,
offset,write,a0,0,1048576,1,1,0,0,16,16,633444.5,45969.0,39590.28125,0.0,496.36607142857144,-5105.491071428572,
offset,write,a0,16,1048576,1,1,16,16,16,16,822168.5,98793.5,51385.53125,0.0,498.04464285714283,4577.196428571428,
offset,write,a0,32,1048576,1,1,32,32,16,16,721647.0,67541.5,45102.9375,0.0,498.9732142857143,-4350.660714285715,
offset,write,a0,64,1048576,1,1,64,64,16,16,1059245.5,314413.5,66202.84375,0.0,498.1607142857143,172.98214285714286,
offset,write,a0,128,1048576,1,1,128,128,16,16,953118.5,97535.5,59569.90625,0.0,497.33035714285717,415.05357142857144,
offset,write,a0,256,1048576,1,1,256,256,16,16,710916.0,63994.5,44432.25,0.0,497.85714285714283,1891.2857142857142,
offset,write,a0,512,1048576,1,1,512,512,16,16,668678.5,55463.0,41792.40625,0.0,495.44642857142856,7200.678571428572,
offset,write,a0,1024,1048576,1,1,1024,1024,16,16,763538.5,123936.5,47721.15625,0.0,490.94642857142856,-974.2053571428571,
offset,write,a0,2048,1048576,1,1,2048,2048,16,16,635053.0,29672.5,39690.8125,0.0,490.94642857142856,7567.133928571428,
