mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
threaded,read,a0,0,65536,1,2,16,16,16,448,5673909.5,264879.0,12664.9765625,0.0,46255.30739795918,12611.435586734693,median
threaded,read,a0,0,65536,1,4,16,16,16,896,6584910.0,559411.0,7349.229910714285,0.0,46271.21237244898,15290.770886479591,median
threaded,read,a0,0,65536,1,8,16,16,16,1792,11456522.5,1000358.0,6393.148716517857,0.0,46295.61918048469,18431.71564094388,median
threaded,read,a0,0,65536,1,16,16,16,16,3584,23923759.0,2693788.0,6675.155970982143,0.0,46315.91446109694,19346.33159279337,median
threaded,read,a0,0,65536,1,32,16,16,16,7168,37734842.5,4305911.5,5264.347446986607,0.0,46333.286192602034,19094.048588966838,median
threaded,read,a0,0,1048576,1,2,16,16,16,448,93522094.5,7910714.0,208754.6752232143,0.0,727047.7366071428,240098.43718112243,median
threaded,read,a0,0,1048576,1,4,16,16,16,896,117146440.5,5056420.5,130743.79520089286,0.0,727060.845822704,283440.3142538265,median
threaded,read,a0,0,1048576,1,8,16,16,16,1792,153108019.0,6740620.5,85439.74274553571,0.0,727080.9650031888,372911.3987563775,median
threaded,read,a0,0,1048576,1,16,16,16,16,3584,334721894.5,12498794.0,93393.3857421875,0.0,727102.1233258928,416333.84677933675,median
threaded,read,a0,0,1048576,1,32,16,16,8,3584,329174116.0,11063092.0,91845.45647321429,0.0,727114.961575255,536452.7536272322,median
threaded,read,a7,0,65536,1,2,4096,0,16,448,1424898.5,70515.0,3180.5770089285716,0.0,46271.561543367345,13342.005420918367,median
threaded,read,a7,0,65536,1,4,4096,0,16,896,1458742.5,106886.0,1628.060825892857,0.0,46289.2122130102,15841.894610969388,median
threaded,read,a7,0,65536,1,8,4096,0,16,1792,2884723.0,606935.5,1609.7784598214287,0.0,46286.5143494898,22461.35371492347,median
threaded,read,a7,0,65536,1,16,4096,0,16,3584,5237614.5,772996.5,1461.387974330357,0.0,46317.85343590561,18512.35965401786,median
threaded,read,a7,0,65536,1,32,4096,0,16,7168,9771193.5,1058719.0,1363.168736049107,0.0,46333.04450334822,18495.630261479593,median
threaded,read,a7,0,1048576,1,2,4096,0,16,448,31934232.0,1253521.5,71281.76785714286,0.0,727039.3105867347,252118.90975765305,median
threaded,read,a7,0,1048576,1,4,4096,0,16,896,32642713.5,1198944.0,36431.599888392855,0.0,727055.6377551021,238622.76339285713,median
threaded,read,a7,0,1048576,1,8,4096,0,16,1792,61459867.5,1408053.5,34296.801060267855,0.0,727090.6004464285,360252.29528061225,median
threaded,read,a7,0,1048576,1,16,4096,0,16,3584,133764711.5,4978875.0,37322.7431640625,0.0,727095.9670758928,403708.5278220663,median
threaded,read,a7,0,1048576,1,32,4096,0,8,3584,148777039.0,8969617.5,41511.45061383928,0.0,727113.6310985332,473627.80763711734,median
threaded,write,a0,0,65536,1,2,16,16,16,448,1933712.0,108587.5,4316.321428571428,0.0,865.8612882653061,1286.278380102041,median
threaded,write,a0,0,65536,1,4,16,16,16,896,4106620.5,212177.0,4583.281808035715,0.0,869.7895408163265,1712.361607142857,median
threaded,write,a0,0,65536,1,8,16,16,16,1792,12967890.0,980993.5,7236.545758928572,0.0,899.8853635204081,1831.9679528061224,median
