mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
offset,write,a0,1024,65536,1,1,1024,1024,16,16,464765.5,15221.5,29047.84375,0.0,481.48214285714283,73.36607142857143,
offset,write,a0,2048,65536,1,1,2048,2048,16,16,471195.0,12946.5,29449.6875,0.0,481.6607142857143,216.16071428571428,
offset,write,a0,0,1048576,1,1,0,0,16,16,6451526.5,12975.0,403220.40625,0.0,483.83035714285717,3731.8839285714284,
offset,write,a0,16,1048576,1,1,16,16,16,16,6408625.5,12725.0,400539.09375,0.0,484.2767857142857,3563.8928571428573,
offset,write,a0,32,1048576,1,1,32,32,16,16,6511273.0,40684.5,406954.5625,0.0,484.42857142857144,2313.6696428571427,
offset,write,a0,64,1048576,1,1,64,64,16,16,6406375.0,14597.5,400398.4375,0.0,485.10714285714283,-287.50892857142856,
offset,write,a0,128,1048576,1,1,128,128,16,16,6433310.5,5407.0,402081.90625,0.0,484.0267857142857,1532.5,
offset,write,a0,256,1048576,1,1,256,256,16,16,6438309.5,8068.0,402394.34375,0.0,484.95535714285717,1981.1964285714287,
offset,write,a0,512,1048576,1,1,512,512,16,16,6442729.0,29254.5,402670.5625,0.0,483.2142857142857,2180.401785714286,
offset,write,a0,1024,1048576,1,1,1024,1024,16,16,6433033.5,6004.0,402064.59375,0.0,477.4642857142857,3157.098214285714,
offset,write,a0,2048,1048576,1,1,2048,2048,16,16,6472018.0,12916.0,404501.125,0.0,476.94642857142856,1407.169642857143,
