arm,binary_sha256,cell,depth,error_note,family,fs,instr_u_per_op_estimates,ok,op,ops,request_size,sys_ns_per_op,total_bytes,user_ns_per_op,wall_ns_per_op_samples,word_sum,workers,write_verified
z1b,e26959934c7e3550edd3a1eba2ac98c12715162682c90114b5917f0a28eefc15,S,8,,attrb,btrfs,"[1096.941905430385, 1096.9419533865791]",True,read,65536,4096,717.103437943892,268435456,157.78004039417613,"[973.4555511474609, 973.7581024169922, 973.2759704589844, 972.7443542480469, 867.0036926269531, 820.7014312744141, 812.3524169921875, 827.8579559326172, 813.96484375, 808.0874938964844, 808.2020721435547]",15932121819945435136,1,True
z2r0,e26959934c7e3550edd3a1eba2ac98c12715162682c90114b5917f0a28eefc15,S,8,,attrb,btrfs,"[3301.567389351981, 3301.5674024309433]",True,read,65536,4096,676.6704212535511,268435456,455.3430730646307,"[1219.1504516601562, 1126.9676361083984, 1138.4093933105469, 1122.7599639892578, 1121.9242553710938, 1122.2279815673828, 1121.9080505371094, 1122.9869537353516, 1121.789321899414, 1138.2745666503906, 1124.3535919189453]",15932121819945435136,1,True
z2r1,e26959934c7e3550edd3a1eba2ac98c12715162682c90114b5917f0a28eefc15,S,8,,attrb,btrfs,"[3287.567419869559, 3287.567413330078]",True,read,65536,4096,719.5365212180398,268435456,411.0509699041193,"[1150.4852752685547, 1130.5356903076172, 1129.1290893554688, 1140.8315124511719, 1128.1326904296875, 1128.6266632080078, 1131.1398010253906, 1128.3464813232422, 1127.993179321289, 1129.4693908691406, 1141.3111267089844]",15932121819945435136,1,True
z1b,e26959934c7e3550edd3a1eba2ac98c12715162682c90114b5917f0a28eefc15,S,8,,attrb,tmpfs,"[1109.6304757254463, 1113.6360800606865]",True,read,65536,4096,2498.598965731534,268435456,594.9471213600852,"[1809.1566619873047, 1791.837158203125, 1690.6885528564453, 1685.8816223144531, 1671.4371643066406, 1675.3879852294922, 1672.9392547607422, 1671.0116119384766, 1670.6226348876953, 1671.3108978271484, 1669.7314147949219]",15932121819945435136,1,True
z2r1,e26959934c7e3550edd3a1eba2ac98c12715162682c90114b5917f0a28eefc15,S,8,,attrb,tmpfs,"[3451.746030535017, 3424.098168509347]",True,read,65536,4096,2897.186279296875,268435456,1016.4586847478694,"[2276.8462677001953, 2272.668914794922, 2265.2881469726562, 2264.866943359375, 2268.2376251220703, 2275.4466552734375, 2262.8535766601562, 2254.231246948242, 2264.4415283203125, 2257.532485961914, 2252.185272216797]",15932121819945435136,1,True
z2r0,e26959934c7e3550edd3a1eba2ac98c12715162682c90114b5917f0a28eefc15,S,8,,attrb,tmpfs,"[3439.775562831334, 3443.2525068010605]",True,read,65536,4096,2734.3541925603695,268435456,1056.8708939985795,"[2201.3218841552734, 2195.2289276123047, 2188.5255126953125, 2200.582015991211, 2187.7799530029297, 2205.8714904785156, 2189.8798217773438, 2202.6952362060547, 2204.5702209472656, 2200.442398071289, 2208.782257080078]",15932121819945435136,1,True
