q0-01,23907135.0,11823990.0,117.53
q0-02,23907077.0,12434177.0,115.9
q0-03,23907110.0,11430582.0,114.78
q0-04,23907083.0,11585009.0,116.18
q0-05,23907108.0,11600311.0,114.76
q0-06,23907123.0,11830566.0,116.11
q0-07,23907079.0,11758976.0,116.86
q0-08,23907115.0,11615581.0,115.0
q0-09,23907064.0,11406958.0,115.75
q0-10,23907124.0,11859778.0,115.62
q0-11,23907103.0,11328953.0,114.85
q0-12,23907125.0,11986194.0,117.64
q0-13,23907089.0,11537621.0,115.06
q0-14,23907103.0,11552051.0,115.33
q0-15,23907121.0,11350431.0,115.14
q0-16,23907036.0,11536178.0,117.58
q0-17,23907068.0,11505534.0,116.09
q0-18,23907108.0,11446006.0,115.12
q0-19,23907082.0,12275050.0,115.53
q0-20,23907100.0,11442344.0,115.21
q0-21,23907086.0,11619184.0,115.65
q0-22,23907092.0,13934175.0,116.19
q0-23,23907134.0,11806486.0,116.74
q0-24,23907130.0,11973887.0,118.3
q0-25,23907091.0,11605500.0,114.84
q0-26,23907089.0,11583833.0,116.65
q0-27,23907131.0,12530632.0,113.61
q0-28,23907094.0,11522575.0,116.09
q0-29,23907125.0,11847292.0,116.82
q0-30,23907087.0,11798400.0,115.3
r1-0001,7578152.0,5682899.0,141.69
r1-0002,2878536.0,2604431.0,151.26
r1-0006,3795227562.0,1022906754.0,1079.71
r1-0007,21986449.0,10766658.0,116.92
r1-0008,7519138656.0,1834266161.0,3027.17
r1-0009,7643375.0,5909401.0,138.59
r1-0010,41525055.0,25404460.0,172.26
r1-0011,3816006785.0,1027636135.0,2482.31
r1-0012,7525820487.0,1827782221.0,1747.36
r1-0013,7525771348.0,1863556732.0,1637.32
r1-0015,3815614213.0,1000481171.0,2669.01
r1-0019,3800095151.0,1103999915.0,1448.67
r1-0021,7519137449.0,1827496340.0,2788.76
r1-0023,3795167932.0,1332780281.0,1759.73
r1-0024,7577884.0,5832648.0,117.63
r1-0025,23404514.0,12188101.0,108.72
r1-0030,23928720.0,11766442.0,112.97
r1-0033,21462240.0,10727665.0,114.58
r1-0035,21985876.0,11051165.0,116.4
r1-0039,7643294.0,5613983.0,125.98
r1-0040,7519138511.0,1835497125.0,2893.16
r1-0044,2878869.0,2287861.0,145.44
r1-0045,7525772271.0,1898635707.0,1887.45
r1-0046,2880102.0,2814824.0,145.94
r1-0049,3799692670.0,1153054923.0,1814.4
r1-0050,3797627004.0,1169351908.0,1452.85
r1-0051,7519137304.0,1874222152.0,2960.92
r1-0054,3798538196.0,1113351120.0,1564.39
r1-0056,23405277.0,11568277.0,100.82
r1-0059,3815614120.0,998768510.0,2514.89
r1-0061,42049041.0,25274635.0,157.47
r1-0062,21462362.0,10644670.0,111.48
r1-0063,2879756.0,2537733.0,144.81
r1-0064,3795671697.0,1024367815.0,1073.41
r1-0066,3791762413.0,1023378898.0,1048.42
r1-0069,3816006862.0,1000471529.0,2382.01
r1-0071,7525820844.0,1829695172.0,1911.79
r1-0074,41525638.0,25249461.0,172.22
r1-0076,23928532.0,11512209.0,114.79
r1-0079,42048452.0,26414937.0,172.75
r2-0002,7578211.0,5768514.0,138.07
r2-0007,41524905.0,27139707.0,172.37
r2-0011,23928446.0,11714295.0,114.42
r2-0013,7525820655.0,1881576398.0,2101.78
r2-0014,3796378196.0,1026209043.0,1110.73
r2-0015,3815614179.0,1004230753.0,2768.57
r2-0016,7643933.0,5940067.0,136.34
r2-0020,7525771788.0,1836172475.0,1703.95
r2-0021,3798437762.0,1024401958.0,1207.76
r2-0022,21462773.0,10606761.0,109.13
r2-0023,7519137120.0,1829539884.0,2894.41
r2-0026,23929081.0,12464843.0,96.79
r2-0027,3816006883.0,1024921936.0,2388.09
r2-0029,21985537.0,13469984.0,126.03
r2-0032,7525772044.0,1836334535.0,1952.04
r2-0034,42049390.0,25752881.0,172.52
r2-0037,21986118.0,11277044.0,105.69
r2-0042,3797808812.0,1029319043.0,1076.01
r2-0043,23404894.0,12164295.0,103.21
r2-0044,7578083.0,5671605.0,135.26
r2-0046,7519137224.0,1818543225.0,2922.15
r2-0048,23405326.0,12014905.0,110.94
r2-0052,7643095.0,5745019.0,141.55
r2-0053,2880198.0,2439723.0,127.55
r2-0055,41524915.0,26395035.0,168.71
r2-0056,42049237.0,25213187.0,177.35
r2-0057,21462452.0,11145096.0,103.1
r2-0058,2878659.0,2295679.0,143.73
r2-0059,2878546.0,2490180.0,128.2
r2-0060,3797409311.0,1092584126.0,1326.95
r2-0062,7519137631.0,1830830804.0,3021.02
r2-0063,3795941086.0,1023333482.0,1255.91
r2-0064,7525820661.0,1824027191.0,1838.96
r2-0068,3816007205.0,1000888952.0,2522.59
r2-0069,7519138065.0,1821700254.0,3057.86
r2-0074,3808145150.0,1085461572.0,1556.16
r2-0076,3797163117.0,1020589368.0,1070.81
r2-0077,2879868.0,2228283.0,140.99
r2-0078,3796127717.0,1023725066.0,1154.21
r2-0079,3815614031.0,997500818.0,2653.04
r3-0000,3796911181.0,1024420284.0,1131.14
r3-0002,7643488.0,5443044.0,138.27
r3-0003,7519136993.0,1836086655.0,2963.21
r3-0006,21986678.0,10583081.0,119.37
r3-0007,3816007192.0,1003418396.0,2608.38
r3-0008,3793352275.0,1023888253.0,1161.07
r3-0009,3799609775.0,1024607219.0,1402.16
r3-0010,3816007186.0,1000481791.0,2469.26
r3-0012,3794020440.0,1023905990.0,1119.42
r3-0014,41524956.0,30498016.0,179.84
r3-0018,7525771980.0,1852283446.0,2002.04
r3-0019,3796697223.0,1039606925.0,1218.38
r3-0024,7577961.0,5780616.0,125.86
r3-0028,3795770362.0,1027248683.0,1140.6
r3-0030,23405363.0,12274325.0,101.75
r3-0034,41524618.0,27271542.0,149.19
r3-0036,7577570.0,5717729.0,120.15
r3-0037,42048658.0,24935968.0,174.04
r3-0038,3802525167.0,1076249032.0,1329.92
r3-0042,42048981.0,25745618.0,177.14
r3-0046,7525772057.0,1951337674.0,1797.62
r3-0047,7525820791.0,1840124415.0,1716.72
r3-0048,7519138628.0,1831119349.0,2986.46
r3-0052,2880403.0,2281186.0,146.03
r3-0053,21462258.0,10664127.0,113.7
r3-0054,3815613925.0,1007234798.0,2548.87
r3-0056,23404925.0,15337766.0,131.56
r3-0059,7519137243.0,1830213349.0,3013.31
r3-0060,2879920.0,3050627.0,144.68
r3-0062,7643152.0,6223434.0,134.11
r3-0063,2878571.0,2912786.0,137.88
r3-0066,21985174.0,10740762.0,115.09
r3-0067,23927496.0,12514931.0,115.21
r3-0070,2877762.0,2748234.0,153.6
r3-0071,23929160.0,12050358.0,117.18
r3-0072,3805593038.0,1030256535.0,1108.0
r3-0075,21462132.0,11028570.0,107.51
r3-0076,7519138261.0,1849830895.0,2942.47
r3-0077,7525819951.0,1934867081.0,1785.53
r3-0079,3815613591.0,1003312775.0,2612.13
r4-0000,2880209.0,2388801.0,149.55
r4-0004,7578227.0,5762264.0,143.14
r4-0007,3815614207.0,1010400908.0,2544.04
r4-0009,7519138622.0,1828290542.0,3130.92
r4-0010,7519136597.0,1831941015.0,3046.76
r4-0012,7525820781.0,1888063200.0,1848.28
r4-0013,41524922.0,25684157.0,174.76
r4-0015,7578234.0,5756753.0,143.06
r4-0016,3803797888.0,1105459272.0,1457.49
r4-0017,42049294.0,25466040.0,177.58
r4-0018,3804405626.0,1025663656.0,1139.81
r4-0022,41525271.0,25069472.0,171.07
r4-0023,3816005894.0,1036528487.0,2491.42
r4-0026,21461942.0,10480175.0,110.24
r4-0029,21462198.0,10732751.0,118.07
r4-0030,3794610091.0,1026234165.0,1160.51
r4-0031,3816006575.0,1011438555.0,2703.53
r4-0039,3793211386.0,1023808291.0,1124.95
r4-0041,21986025.0,10610339.0,117.4
r4-0042,7525772143.0,1834280551.0,2132.81
r4-0044,23405078.0,11818161.0,114.32
r4-0045,7643204.0,5888958.0,144.2
r4-0047,2878660.0,2375037.0,145.78
r4-0048,7519137457.0,1868744875.0,2813.06
r4-0049,7525820820.0,1872591862.0,2091.15
r4-0052,2880131.0,2533365.0,130.68
r4-0053,23404662.0,12188149.0,109.71
r4-0055,3806284679.0,1082905803.0,1366.05
r4-0056,7525771913.0,1880949551.0,1853.96
r4-0057,42049334.0,25273278.0,145.48
r4-0061,21986211.0,10621582.0,104.15
r4-0063,3815613973.0,1009712381.0,2688.32
r4-0064,7519137996.0,1833222786.0,3014.21
r4-0065,2880915.0,2384292.0,148.42
r4-0068,23928836.0,12820880.0,119.82
r4-0069,3796168077.0,1027563371.0,1458.31
r4-0071,3796283507.0,1025785903.0,1206.35
r4-0072,3797070369.0,1023058145.0,1203.83
r4-0073,23928166.0,11722580.0,114.46
r4-0075,7643537.0,5828777.0,123.1
