r1-0000,3059079.0,4940297.0,1027.31
r1-0001,3048557.0,3492483.0,1573.0
r1-0002,3061608.0,4158707.0,983.29
r1-0003,4316531.0,5014653.0,925.33
r1-0004,3310724.0,7913220.0,1057.01
r1-0005,3045787.0,3807068.0,1401.74
r1-0006,3475114.0,4492731.0,925.5
r1-0007,3084541.0,3627919.0,959.71
r1-0008,3479970.0,4098276.0,984.05
r1-0009,4307043.0,5553165.0,996.71
r1-0010,3058843.0,3289451.0,959.07
r1-0011,3086813.0,6698940.0,977.7
r1-0012,2850726.0,2858908.0,1058.44
r1-0013,3044997.0,4810295.0,1548.34
r1-0014,3474840.0,5116870.0,974.15
r1-0015,4307570.0,4723069.0,924.8
r2-0000,4307042.0,5582169.0,996.5
r2-0001,3479961.0,4022217.0,974.12
r2-0002,3086803.0,6434073.0,982.56
r2-0003,3059066.0,4954894.0,967.25
r2-0004,4307588.0,4938951.0,982.78
r2-0005,3310715.0,7652419.0,1005.29
r2-0006,4316529.0,4810782.0,944.4
r2-0007,3474832.0,5157618.0,986.22
r2-0008,2850726.0,2688511.0,1010.33
r2-0009,3048550.0,3374848.0,1450.98
r2-0010,3045782.0,3418534.0,1408.47
r2-0011,3475067.0,3965063.0,919.36
r2-0012,3044947.0,4268802.0,1492.67
r2-0013,3061675.0,3241697.0,1019.69
r2-0014,3084558.0,3463610.0,1061.2
r2-0015,3058829.0,3669398.0,958.48
r3-0000,3084544.0,3375159.0,927.06
r3-0001,3475118.0,4275873.0,903.67
r3-0002,4307058.0,5822650.0,1027.66
r3-0003,3474830.0,5426975.0,989.07
r3-0004,3479672.0,4245632.0,986.27
r3-0005,3086812.0,6744377.0,978.71
r3-0006,2850679.0,2964747.0,1074.55
r3-0007,4307587.0,5138155.0,979.97
r3-0008,3045773.0,3419938.0,1418.86
r3-0009,3061671.0,3140967.0,1116.92
r3-0010,3044985.0,4397973.0,1509.56
r3-0011,4316535.0,5311070.0,1004.69
r3-0012,3059068.0,5078250.0,949.38
r3-0013,3310714.0,8414378.0,1027.29
r3-0014,3048554.0,3794077.0,1509.07
r3-0015,3058841.0,3638405.0,966.33
r4-0000,3058842.0,3227989.0,1089.59
r4-0001,3086820.0,6416503.0,1010.85
r4-0002,3475117.0,4570551.0,937.49
r4-0003,4307030.0,5301905.0,929.53
r4-0004,3061351.0,3611975.0,949.09
r4-0005,3480008.0,4371226.0,1011.17
r4-0006,3084534.0,3746609.0,933.12
r4-0007,3048557.0,3517827.0,1590.31
r4-0008,3044987.0,4446488.0,1528.95
r4-0009,3310725.0,8239598.0,1077.95
r4-0010,3045819.0,3681628.0,1446.23
r4-0011,3474835.0,5044431.0,1003.01
r4-0012,4315964.0,5007844.0,1036.47
r4-0013,2850730.0,2625920.0,1042.56
r4-0014,4307586.0,5208777.0,969.55
r4-0015,3059084.0,4781336.0,1052.39
r5-0000,3086824.0,6541798.0,1118.36
r5-0001,3061633.0,3299470.0,998.21
r5-0002,4306586.0,5718944.0,1075.1
r5-0003,3045796.0,3799706.0,1701.34
r5-0004,3310740.0,7567076.0,1494.58
r5-0005,3044996.0,4427562.0,1856.59
r5-0006,3475144.0,4018881.0,1446.36
r5-0007,2850742.0,2825741.0,1541.5
r5-0008,3058857.0,3175779.0,1540.46
r5-0009,4316559.0,5244963.0,1407.56
r5-0010,3048569.0,3685722.0,2100.24
r5-0011,4307613.0,5052836.0,1463.56
r5-0012,3479984.0,4446614.0,1511.6
r5-0013,3059095.0,4983538.0,1526.69
r5-0014,3474860.0,5194675.0,1493.74
r5-0015,3084568.0,3430188.0,1423.36
r6-0000,3048569.0,3424266.0,2163.63
r6-0001,3061675.0,3368868.0,1550.27
r6-0002,3059096.0,5239366.0,1511.43
r6-0003,3475143.0,4600187.0,1487.46
r6-0004,3084595.0,3157864.0,1588.88
r6-0005,3474862.0,5089473.0,1334.75
r6-0006,3058852.0,3212074.0,1547.09
r6-0007,2850740.0,2875684.0,1549.07
r6-0008,4307070.0,5712042.0,1476.25
r6-0009,3044996.0,4442998.0,2004.89
r6-0010,4316558.0,5258817.0,1472.97
r6-0011,4307610.0,4942742.0,1293.35
r6-0012,3310740.0,7927138.0,1571.61
r6-0013,3045802.0,3537347.0,1936.69
r6-0014,3479996.0,4386362.0,1514.53
r6-0015,3086835.0,6555898.0,1535.22
r7-0000,3061696.0,3235311.0,1621.26
r7-0001,3479984.0,4416792.0,1343.65
r7-0002,3045798.0,3622984.0,1845.04
r7-0003,3058869.0,3146936.0,1572.65
r7-0004,3048556.0,3424763.0,2115.21
r7-0005,3474847.0,5338493.0,1502.28
r7-0006,3086838.0,6587354.0,1417.8
r7-0007,3310740.0,7728272.0,1346.18
r7-0008,4307612.0,5131816.0,1496.99
r7-0009,4307073.0,5468741.0,1497.3
r7-0010,4316559.0,5374243.0,1518.47
r7-0011,3475141.0,4539874.0,1473.72
r7-0012,2850740.0,2708359.0,1537.45
r7-0013,3045014.0,4214590.0,1744.7
r7-0014,3059096.0,4977974.0,1450.63
r7-0015,3084568.0,3703218.0,1448.49
