arm,binary_sha256,cell,depth,error_note,family,fs,instr_u_per_op_estimates,ok,op,ops,request_size,sys_ns_per_op,total_bytes,user_ns_per_op,wall_ns_per_op_samples,word_sum,workers,write_verified
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md2,2,,re2u,btrfs,"[215220.181640625, 215220.34068080358]",True,write,512,2097152,815857.7769886364,1073741824,212508.8778409091,"[801349.263671875, 802222.931640625, 803598.865234375, 801819.962890625, 800346.4375, 801207.5234375, 801999.861328125, 804554.591796875, 807330.10546875, 805378.16015625, 811978.771484375]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md2,2,,re2u,btrfs,"[218719.3052455357, 218719.2876674107]",True,write,512,2097152,846025.5681818182,1073741824,290815.5184659091,"[810190.90234375, 807567.53515625, 807337.921875, 808314.513671875, 808544.984375, 803775.0859375, 809032.083984375, 809731.486328125, 807469.36328125, 912291.142578125, 860937.79296875]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd1,1,,re2u,tmpfs,"[4685.07243347168, 4685.0727778843475]",True,read,65536,4096,9814.075816761364,268435456,4107.183283025568,"[10470.190170288086, 12460.210388183594, 13536.391098022461, 15711.903610229492, 10168.334747314453, 10500.258575439453, 9447.19418334961, 12846.048889160156, 13861.554656982422, 13580.946685791016, 13122.356460571289]",15932121819945435136,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd1,1,,re2u,tmpfs,"[1196.0706285749163, 1196.0691419328962]",True,read,65536,4096,8223.524613813921,268435456,1832.6679576526988,"[8799.612777709961, 10021.44206237793, 10502.417709350586, 11054.942901611328, 11123.796569824219, 11020.347366333008, 11100.825698852539, 11081.594772338867, 9548.213729858398, 7391.374893188477, 8826.116424560547]",15932121819945435136,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd1,1,,re2u,tmpfs,"[714.0645032610212, 714.0650394984654]",True,write,65536,4096,7705.044833096591,268435456,839.0405828302556,"[8207.092544555664, 7812.083465576172, 8043.000473022461, 8642.034454345703, 8648.563949584961, 9079.07438659668, 10213.895751953125, 10659.24446105957, 7487.257797241211, 7849.388198852539, 7761.52766418457]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd1,1,,re2u,tmpfs,"[4211.056383405413, 4211.079182216099]",True,write,65536,4096,12612.529407848011,268435456,4549.9225963245735,"[14218.899169921875, 17694.45376586914, 16226.878021240234, 15412.962890625, 17282.04867553711, 15467.541870117188, 15236.144287109375, 12999.264144897461, 12527.280822753906, 14406.828353881836, 15694.883911132812]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd8,8,,re2u,tmpfs,"[3244.1248735700333, 3228.305356706892]",True,read,65536,4096,2911.471280184659,268435456,993.5427579012784,"[2275.798309326172, 2263.842559814453, 2259.665069580078, 2255.451385498047, 2249.4779357910156, 2247.469436645508, 2263.374755859375, 2266.5509490966797, 2256.6571197509766, 2266.694869995117, 2251.977783203125]",15932121819945435136,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd8,8,,re2u,tmpfs,"[1105.4442334856305, 1110.1021292550224]",True,read,65536,4096,2427.0518909801135,268435456,589.8617831143466,"[1746.8070526123047, 1764.2132110595703, 1705.361572265625, 1630.5516967773438, 1633.0845794677734, 1630.8509979248047, 1635.6890869140625, 1647.3040618896484, 1639.3274688720703, 1647.72705078125, 1623.7167358398438]",15932121819945435136,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd8,8,,re2u,tmpfs,"[629.9668753487723, 631.035908290318]",True,write,65536,4096,2529.233065518466,268435456,551.1932373046875,"[1800.198013305664, 1801.3814392089844, 1648.440689086914, 1636.5739288330078, 1639.3489837646484, 1657.9766998291016, 1642.7082061767578, 1654.643310546875, 1661.8224487304688, 1652.2188720703125, 1660.0221405029297]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd8,8,,re2u,tmpfs,"[2744.3383265904017, 2735.1873059953964]",True,write,65536,4096,2889.2433860085225,268435456,1023.377852006392,"[2209.531997680664, 2191.2605895996094, 2199.740737915039, 2233.8768920898438, 2243.0955352783203, 2270.4591522216797, 2250.9198455810547, 2250.241409301758, 2246.5750274658203, 2246.1856536865234, 2250.440673828125]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,64Kd2,2,,re2u,tmpfs,"[17765.659772600447, 17724.083147321428]",True,read,4096,65536,14642.66690340909,268435456,6720.458984375,"[13109.815185546875, 12932.029296875, 12783.19921875, 11545.764404296875, 10939.873046875, 10735.204345703125, 10777.4658203125, 10742.74169921875, 10725.541015625, 10742.508056640625, 10981.539794921875]",15932121819945435136,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,64Kd2,2,,re2u,tmpfs,"[14637.090750558036, 14637.061488560268]",True,read,4096,65536,12900.412819602272,268435456,4755.548650568182,"[11172.443603515625, 11189.941650390625, 11106.13916015625, 10655.84765625, 10624.956787109375, 10646.919189453125, 10645.920166015625, 10735.299072265625, 10652.10107421875, 10592.540283203125, 10554.383544921875]",15932121819945435136,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,64Kd2,2,,re2u,tmpfs,"[10068.74574497768, 10069.38804408482]",True,write,4096,65536,15623.734907670454,268435456,8029.119318181818,"[13316.711181640625, 12948.9462890625, 12782.087890625, 12859.632080078125, 12361.125244140625, 12433.372802734375, 12409.704345703125, 12397.22021484375, 12333.056884765625, 12604.29443359375, 12337.314697265625]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,64Kd2,2,,re2u,tmpfs,"[6985.056919642857, 6985.06787109375]",True,write,4096,65536,14254.039417613636,268435456,5618.252840909091,"[12863.828857421875, 12733.986328125, 12365.049072265625, 12076.095947265625, 11870.028076171875, 11830.04931640625, 11795.45166015625, 11861.490478515625, 11805.12744140625, 11901.1884765625, 11906.75830078125]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md1,1,,re2u,tmpfs,"[462549.94949776784, 462549.8624441964]",True,read,512,2097152,730602.0951704546,1073741824,196813.74289772726,"[948398.263671875, 940878.06640625, 977625.9765625, 984644.1484375, 964836.3125, 984000.6171875, 975584.603515625, 955939.79296875, 960205.5078125, 974475.05859375, 976889.400390625]",8388255058653085696,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md1,1,,re2u,tmpfs,"[459060.6515066964, 459060.71456473216]",True,read,512,2097152,735853.8707386364,1073741824,210810.90198863635,"[973043.7265625, 1010548.404296875, 1014546.876953125, 1020065.365234375, 1016431.619140625, 1000510.12890625, 1020868.986328125, 983245.3359375, 978170.8125, 964447.6796875, 961784.3515625]",8388255058653085696,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md1,1,,re2u,tmpfs,"[218715.49832589287, 218715.48995535713]",True,write,512,2097152,806958.2741477273,1073741824,399113.63636363635,"[1247910.67578125, 1258302.837890625, 1265810.94921875, 1248348.2421875, 1257761.525390625, 1261852.4921875, 1258777.900390625, 1257233.93359375, 1247272.736328125, 1255084.517578125, 1282359.150390625]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md1,1,,re2u,tmpfs,"[215220.5337611607, 215220.51199776787]",True,write,512,2097152,765292.96875,1073741824,415693.00426136365,"[1248855.552734375, 1248972.240234375, 1250136.94140625, 1249378.373046875, 1250077.7421875, 1249880.509765625, 1249189.427734375, 1249897.41015625, 1249120.255859375, 1249457.962890625, 1201316.779296875]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md2,2,,re2u,tmpfs,"[462553.70758928574, 462553.65569196426]",True,read,512,2097152,380594.4602272727,1073741824,203428.7997159091,"[406261.6875, 369586.248046875, 373478.66796875, 370364.28515625, 369714.708984375, 371463.109375, 370423.017578125, 373033.900390625, 371315.517578125, 370399.08984375, 371536.3984375]",8388255058653085696,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md2,2,,re2u,tmpfs,"[459060.70479910716, 459060.7061941964]",True,read,512,2097152,370561.6122159091,1073741824,104425.07102272728,"[344706.36328125, 348271.849609375, 346826.421875, 345244.830078125, 346391.24609375, 346739.099609375, 345222.4609375, 348696.634765625, 345257.181640625, 345411.443359375, 347857.2578125]",8388255058653085696,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md2,2,,re2u,tmpfs,"[215220.3032924107, 215220.30831473213]",True,write,512,2097152,315887.4289772727,1073741824,189161.0440340909,"[327668.31640625, 326510.23828125, 326550.029296875, 327518.72265625, 319246.990234375, 320376.2578125, 318177.4140625, 327748.310546875, 327650.763671875, 327571.1484375, 327194.083984375]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md2,2,,re2u,tmpfs,"[218718.70228794642, 218719.4419642857]",True,write,512,2097152,324303.6221590909,1073741824,217493.60795454544,"[320675.2265625, 321966.677734375, 325449.470703125, 326614.904296875, 317543.638671875, 325437.28125, 325502.357421875, 322418.865234375, 324863.185546875, 324086.935546875, 317123.0859375]",,1,True
