arm,binary_sha256,cell,depth,error_note,family,fs,instr_u_per_op_estimates,ok,op,ops,request_size,sys_ns_per_op,total_bytes,user_ns_per_op,wall_ns_per_op_samples,word_sum,workers,write_verified
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd1,1,,re2u,btrfs,"[3852.0682002476283, 3852.068383353097]",True,read,65536,4096,989.4991787997159,268435456,1022.6287841796875,"[2189.0603942871094, 1997.6919403076172, 2005.9163665771484, 1992.6390228271484, 1990.3612823486328, 1994.7321166992188, 2011.0307922363281, 1991.3357849121094, 1990.898193359375, 2007.3448333740234, 2016.70361328125]",15932121819945435136,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd1,1,,re2u,btrfs,"[1196.0675310407366, 1196.067613874163]",True,read,65536,4096,875.5382191051136,268435456,365.0152033025568,"[1239.5970458984375, 1238.0745239257812, 1261.325424194336, 1246.1688079833984, 1255.5889739990234, 1242.3734436035156, 1235.373275756836, 1234.3580322265625, 1229.1236572265625, 1241.0327758789062, 1259.9271850585938]",15932121819945435136,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd1,1,,re2u,btrfs,"[714.0646711077009, 714.06545148577]",True,write,65536,4096,10148.420854048296,268435456,876.2151544744319,"[10739.807403564453, 11055.93002319336, 11062.197738647461, 11061.034530639648, 11049.099670410156, 11083.143539428711, 10353.241516113281, 10685.054672241211, 11667.708419799805, 12088.901351928711, 12068.698104858398]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd1,1,,re2u,btrfs,"[4211.065399169922, 4211.068215506418]",True,write,65536,4096,13497.940063476562,268435456,4368.5732754794035,"[13838.324478149414, 16769.581954956055, 20730.773483276367, 13654.300567626953, 14729.464096069336, 13114.124145507812, 14423.208557128906, 14790.047592163086, 17713.35140991211, 15910.144882202148, 15560.504913330078]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd8,8,,re2u,btrfs,"[3098.442328316825, 3098.44247000558]",True,read,65536,4096,692.9501620205966,268435456,479.9749200994318,"[1177.320816040039, 1173.7462615966797, 1172.7858581542969, 1188.4878234863281, 1170.9511260986328, 1187.0133361816406, 1167.6146697998047, 1169.068115234375, 1169.4146270751953, 1186.1878051757812, 1172.2010650634766]",15932121819945435136,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd8,8,,re2u,btrfs,"[1096.9421844482422, 1096.9421016148158]",True,read,65536,4096,704.0183327414773,268435456,139.6387273615057,"[847.4624176025391, 843.3615417480469, 845.0225067138672, 858.9428100585938, 843.446533203125, 839.8315582275391, 866.2629852294922, 839.5188293457031, 839.4723205566406, 841.5366363525391, 839.5350036621094]",15932121819945435136,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd8,8,,re2u,btrfs,"[677.4493996756418, 673.893306187221]",True,write,65536,4096,5070.9075927734375,268435456,600.4499955610795,"[3270.471160888672, 3252.8343963623047, 3263.0380859375, 3261.083984375, 3270.7516479492188, 3288.2525634765625, 3290.448989868164, 3284.5648498535156, 3277.857192993164, 3296.2745361328125, 3316.2540740966797]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,4Kd8,8,,re2u,btrfs,"[3210.8233773367747, 3120.8566611153738]",True,write,65536,4096,4586.0997980291195,268435456,1419.674960049716,"[3017.003646850586, 3031.2830657958984, 3013.6935272216797, 3013.488998413086, 3014.902816772461, 3015.4270935058594, 3026.8060607910156, 3003.0924072265625, 3010.8482360839844, 2978.011993408203, 2982.1160583496094]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,64Kd2,2,,re2u,btrfs,"[14582.072684151786, 14582.07386997768]",True,read,4096,65536,6663.108132102273,268435456,2014.8703835227273,"[9528.30615234375, 8948.28857421875, 8560.3671875, 8553.7138671875, 8544.062744140625, 8542.440673828125, 8544.716796875, 8560.268798828125, 8826.129150390625, 8559.601806640625, 8548.18798828125]",15932121819945435136,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,64Kd2,2,,re2u,btrfs,"[16853.57052176339, 16853.570417131697]",True,read,4096,65536,6534.867720170455,268435456,2768.5102982954545,"[9288.467041015625, 9309.09130859375, 9300.58984375, 9285.969970703125, 9267.841064453125, 9288.96484375, 9369.1533203125, 9449.0927734375, 9302.741455078125, 9324.9609375, 9403.659423828125]",15932121819945435136,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,64Kd2,2,,re2u,btrfs,"[10484.002232142857, 10484.007777622768]",True,write,4096,65536,34015.15891335227,268435456,10518.754438920454,"[28950.861083984375, 28785.06396484375, 28799.0205078125, 28810.9853515625, 28796.9609375, 28711.9677734375, 28747.85009765625, 28608.185791015625, 28591.045166015625, 28720.5166015625, 28731.92724609375]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,64Kd2,2,,re2u,btrfs,"[6985.008893694197, 6985.016357421875]",True,write,4096,65536,31017.15642755682,268435456,6007.013494318182,"[28458.44091796875, 28197.458984375, 28127.32421875, 28110.60888671875, 28096.87744140625, 28236.4501953125, 28061.84912109375, 27962.2451171875, 28028.27880859375, 28226.36962890625, 28235.067626953125]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md1,1,,re2u,btrfs,"[461716.64229910716, 461716.65569196426]",True,read,512,2097152,250594.28267045456,1073741824,73087.890625,"[323512.810546875, 325998.12890625, 325373.427734375, 325587.0625, 325268.11328125, 324178.935546875, 323749.701171875, 324344.28125, 325424.693359375, 324536.0859375, 324629.18359375]",8388255058653085696,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md1,1,,re2u,btrfs,"[459060.6746651786, 459060.67996651784]",True,read,512,2097152,255196.91051136365,1073741824,67074.92897727272,"[322183.42578125, 323481.345703125, 324895.638671875, 322197.849609375, 324407.044921875, 322158.357421875, 323427.48828125, 323590.5859375, 324498.29296875, 322061.53515625, 324364.337890625]",8388255058653085696,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md1,1,,re2u,btrfs,"[218715.50753348213, 218715.4662388393]",True,write,512,2097152,1146574.7514204546,1073741824,329782.1377840909,"[1356320.830078125, 1530461.4765625, 1406238.51171875, 1390433.318359375, 1537455.16796875, 1509745.689453125, 2343486.71484375, 1623919.72265625, 1627379.5703125, 1508673.48828125, 1425073.423828125]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md1,1,,re2u,btrfs,"[215220.46121651787, 215220.396484375]",True,write,512,2097152,1350367.7201704546,1073741824,348883.16761363635,"[1616651.337890625, 2904461.298828125, 2249054.56640625, 2291755.1328125, 1649027.05859375, 1639274.3828125, 1628953.173828125, 1621009.271484375, 1629327.9765625, 3295960.59765625, 3511322.0234375]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md2,2,,re2u,btrfs,"[459005.68191964284, 459005.67801339284]",True,read,512,2097152,251246.09375,1073741824,71664.24005681818,"[325557.875, 324483.357421875, 323155.951171875, 322736.970703125, 324777.255859375, 323138.080078125, 324625.611328125, 324741.7890625, 322955.021484375, 323067.10546875, 324806.884765625]",8388255058653085696,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,2Md2,2,,re2u,btrfs,"[461277.15206473216, 461277.1484375]",True,read,512,2097152,255155.53977272726,1073741824,67227.27272727272,"[321695.486328125, 324392.01953125, 322742.349609375, 321730.09765625, 321908.0625, 323527.201171875, 321587.330078125, 332456.171875, 324228.95703125, 322805.296875, 322974.828125]",8388255058653085696,1,True
