mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
ladder,read,a1,0,16384,2,1,64,0,16,16,31346.0,475.5,1959.125,0.0,8072.464285714285,2926.0,
ladder,read,a1,0,16384,4,1,64,0,16,16,28330.0,435.5,1770.625,0.0,8070.508928571428,1581.142857142857,
ladder,read,a1,0,16384,8,1,64,0,16,16,28986.5,340.5,1811.65625,0.0,8071.741071428572,582.8392857142857,
ladder,read,a1,0,16384,16,1,64,0,16,16,28711.5,832.5,1794.46875,0.0,8074.1875,3080.8660714285716,
ladder,read,a1,0,16384,32,1,64,0,16,16,28370.0,1483.0,1773.125,0.0,8074.330357142857,599.0982142857143,
ladder,read,a1,0,65536,1,1,64,0,16,16,81594.5,3186.5,5099.65625,0.0,30763.696428571428,6518.651785714285,
ladder,read,a1,0,65536,2,1,64,0,16,16,125890.5,2019.0,7868.15625,0.0,30765.901785714286,34806.99107142857,
ladder,read,a1,0,65536,4,1,64,0,16,16,113656.5,34602.5,7103.53125,0.0,30765.04464285714,35986.21428571428,
ladder,read,a1,0,65536,8,1,64,0,16,16,86249.0,1579.0,5390.5625,0.0,30761.758928571428,11805.375,
ladder,read,a1,0,65536,16,1,64,0,16,16,84314.5,10976.0,5269.65625,0.0,30767.1875,6009.276785714285,
ladder,read,a1,0,65536,32,1,64,0,16,16,71735.0,281.0,4483.4375,0.0,30767.535714285714,9380.401785714286,
ladder,read,a1,0,1048576,1,1,64,0,16,16,1569831.5,99459.0,98114.46875,0.0,484606.1339285714,121799.02678571429,
ladder,read,a1,0,1048576,2,1,64,0,16,16,1610717.0,88062.0,100669.8125,0.0,484606.91071428574,123681.92857142857,
ladder,read,a1,0,1048576,4,1,64,0,16,16,1504509.0,63539.0,94031.8125,0.0,484606.83928571426,135467.5357142857,
ladder,read,a1,0,1048576,8,1,64,0,16,16,1550609.5,52683.0,96913.09375,0.0,484606.0714285714,125019.74107142857,
ladder,read,a1,0,1048576,16,1,64,0,16,16,1638831.5,84915.5,102426.96875,0.0,484606.73214285716,152970.63392857142,
ladder,read,a1,0,1048576,32,1,64,0,16,16,1906698.5,114082.0,119168.65625,0.0,484606.5535714286,68413.85714285714,
ladder,read,a2,0,4096,1,1,128,0,16,16,19222.5,15.5,1201.40625,0.0,2398.6696428571427,-358.0357142857143,
ladder,read,a2,0,4096,2,1,128,0,16,16,16036.0,40.0,1002.25,0.0,2397.964285714286,-264.39285714285717,
ladder,read,a2,0,4096,4,1,128,0,16,16,15430.0,50.0,964.375,0.0,2397.973214285714,2601.9821428571427,
ladder,read,a2,0,4096,8,1,128,0,16,16,16112.0,125.0,1007.0,0.0,2398.464285714286,-6395.866071428572,
ladder,read,a2,0,4096,16,1,128,0,16,16,16512.5,60.5,1032.03125,0.0,2399.2053571428573,-438.7857142857143,
ladder,read,a2,0,4096,32,1,128,0,16,16,15275.0,30.0,954.6875,0.0,2398.4553571428573,1945.544642857143,
ladder,read,a2,0,8192,1,1,128,0,16,16,18701.5,50.5,1168.84375,0.0,4289.267857142857,-2373.3660714285716,
ladder,read,a2,0,8192,2,1,128,0,16,16,20650.5,130.5,1290.65625,0.0,4291.794642857143,5856.392857142857,
ladder,read,a2,0,8192,4,1,128,0,16,16,19533.0,190.0,1220.8125,0.0,4290.169642857143,1071.5714285714287,
ladder,read,a2,0,8192,8,1,128,0,16,16,18611.5,215.5,1163.21875,0.0,4289.8125,1486.5982142857142,
ladder,read,a2,0,8192,16,1,128,0,16,16,18551.5,45.0,1159.46875,0.0,4289.6875,3221.3214285714284,
ladder,read,a2,0,8192,32,1,128,0,16,16,19999.0,315.5,1249.9375,0.0,4290.446428571428,-50.294642857142854,
ladder,read,a2,0,16384,1,1,128,0,16,16,28871.0,139.5,1804.4375,0.0,8071.357142857143,4117.214285714285,
ladder,read,a2,0,16384,2,1,128,0,16,16,36100.0,340.0,2256.25,0.0,8071.544642857143,1836.830357142857,
ladder,read,a2,0,16384,4,1,128,0,16,16,30951.0,1508.5,1934.4375,0.0,8072.839285714285,5093.3125,
ladder,read,a2,0,16384,8,1,128,0,16,16,27318.5,691.5,1707.40625,0.0,8071.089285714285,-5928.401785714285,
ladder,read,a2,0,16384,16,1,128,0,16,16,29687.5,631.0,1855.46875,0.0,8074.589285714285,-3869.0625,
ladder,read,a2,0,16384,32,1,128,0,16,16,32353.0,1969.0,2022.0625,0.0,8074.089285714285,-1827.7410714285713,
ladder,read,a2,0,65536,1,1,128,0,16,16,112419.5,9659.0,7026.21875,0.0,30766.446428571428,9414.660714285714,
ladder,read,a2,0,65536,2,1,128,0,16,16,108276.5,3336.5,6767.28125,0.0,30764.01785714286,8079.821428571428,
ladder,read,a2,0,65536,4,1,128,0,16,16,88773.0,10790.5,5548.3125,0.0,30763.54464285714,1491.3392857142858,
ladder,read,a2,0,65536,8,1,128,0,16,16,91378.5,12008.0,5711.15625,0.0,30762.848214285714,14376.205357142857,
ladder,read,a2,0,65536,16,1,128,0,16,16,77010.0,1106.5,4813.125,0.0,30767.70535714286,4683.098214285715,
ladder,read,a2,0,65536,32,1,128,0,16,16,76023.0,996.5,4751.4375,0.0,30766.33035714286,-3038.7410714285716,
ladder,read,a2,0,1048576,1,1,128,0,16,16,1624714.5,81855.0,101544.65625,0.0,484608.84821428574,121787.65178571429,
ladder,read,a2,0,1048576,2,1,128,0,16,16,1538751.5,59451.0,96171.96875,0.0,484608.41964285716,126115.96428571429,
ladder,read,a2,0,1048576,4,1,128,0,16,16,1528857.0,40809.5,95553.5625,0.0,484606.8660714286,124825.23214285714,
ladder,read,a2,0,1048576,8,1,128,0,16,16,1502510.5,134081.5,93906.90625,0.0,484606.5535714286,155093.0357142857,
ladder,read,a2,0,1048576,16,1,128,0,16,16,1643933.5,46503.0,102745.84375,0.0,484608.08928571426,120791.83035714286,
ladder,read,a2,0,1048576,32,1,128,0,16,16,1731518.0,53815.0,108219.875,0.0,484607.9375,132362.63392857142,
ladder,read,a3,0,4096,1,1,256,0,16,16,14975.0,15.5,935.9375,0.0,2398.3839285714284,1989.392857142857,
ladder,read,a3,0,4096,2,1,256,0,16,16,15645.5,25.5,977.84375,0.0,2398.625,871.6964285714286,
ladder,read,a3,0,4096,4,1,256,0,16,16,14543.5,30.0,908.96875,0.0,2399.0089285714284,4657.544642857143,
ladder,read,a3,0,4096,8,1,256,0,16,16,15911.0,25.0,994.4375,0.0,2399.401785714286,-1926.294642857143,
ladder,read,a3,0,4096,16,1,256,0,16,16,16577.5,20.0,1036.09375,0.0,2398.8303571428573,7694.339285714285,
ladder,read,a3,0,4096,32,1,256,0,16,16,15340.0,19.5,958.75,0.0,2398.2410714285716,1048.8214285714287,
ladder,read,a3,0,8192,1,1,256,0,16,16,19623.0,25.0,1226.4375,0.0,4290.392857142857,-1238.0892857142858,
ladder,read,a3,0,8192,2,1,256,0,16,16,20329.0,115.5,1270.5625,0.0,4288.526785714285,5757.892857142857,
ladder,read,a3,0,8192,4,1,256,0,16,16,19814.0,75.0,1238.375,0.0,4290.392857142857,528.625,
