mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op
sync,write,a3,0,4096,1,1,256,0,16,16,56084.5,596.5,3505.28125,0.0,491.4732142857143,-149.34821428571428
sync,write,a3,0,4096,8,1,256,0,16,16,57772.5,1303.0,3610.78125,0.0,493.5,2248.6428571428573
sync,write,a3,0,1048576,1,1,256,0,16,16,873006.5,95762.0,54562.90625,0.0,494.69642857142856,-8772.07142857143
sync,write,a3,0,1048576,8,1,256,0,16,16,837615.0,53659.5,52350.9375,0.0,496.5982142857143,14238.50892857143
sync,write,a4,0,4096,1,1,512,0,16,16,57192.0,1097.0,3574.5,0.0,492.4107142857143,-948.9732142857143
sync,write,a4,0,4096,8,1,512,0,16,16,55603.5,1222.5,3475.21875,0.0,492.60714285714283,954.2232142857143
sync,write,a4,0,1048576,1,1,512,0,16,16,801146.5,67111.0,50071.65625,0.0,496.92857142857144,193.07142857142858
sync,write,a4,0,1048576,8,1,512,0,16,16,887898.0,71970.0,55493.625,0.0,496.75892857142856,199.79464285714286
sync,write,a5,0,4096,1,1,1024,0,16,16,56014.0,665.5,3500.875,0.0,492.4642857142857,1171.0357142857142
sync,write,a5,0,4096,8,1,1024,0,16,16,56961.5,636.5,3560.09375,0.0,492.30357142857144,-754.4285714285714
sync,write,a5,0,1048576,1,1,1024,0,16,16,931907.0,89345.0,58244.1875,0.0,496.0,-2053.3035714285716
sync,write,a5,0,1048576,8,1,1024,0,16,16,947023.5,65287.0,59188.96875,0.0,495.74107142857144,2371.473214285714
sync,write,a6,0,4096,1,1,2048,0,16,16,57176.5,1327.0,3573.53125,0.0,493.74107142857144,1288.5089285714287
sync,write,a6,0,4096,8,1,2048,0,16,16,57577.5,897.0,3598.59375,0.0,492.69642857142856,560.625
sync,write,a6,0,1048576,1,1,2048,0,16,16,918660.5,133290.0,57416.28125,0.0,495.23214285714283,-3864.6964285714284
sync,write,a6,0,1048576,8,1,2048,0,16,16,743321.5,33860.5,46457.59375,0.0,498.5625,6316.366071428572
sync,write,a7,0,4096,1,1,4096,0,16,16,56881.0,2259.0,3555.0625,0.0,491.98214285714283,1181.857142857143
sync,write,a7,0,4096,8,1,4096,0,16,16,71715.0,1824.0,4482.1875,0.0,492.0267857142857,1311.107142857143
sync,write,a7,0,1048576,1,1,4096,0,16,16,816140.5,97235.5,51008.78125,0.0,495.60714285714283,-25028.160714285714
sync,write,a7,0,1048576,8,1,4096,0,16,16,855389.5,96773.5,53461.84375,0.0,496.5357142857143,2951.6160714285716
