phase,arm,size,slots,regime,ops_per_rep,kc,window_bytes,alloc_ns_median,alloc_ns_mad,alloc_ns_per_buffer,io_ns_median,io_ns_mad,io_ns_per_first_read,io_ns_per_op,total_to_first_io_ns_median,total_to_first_io_ns_mad,total_to_first_io_ns_per_buffer,touch_ns_median,touch_ns_mad,touch_ns_per_page,destroy_ns_median,minflt_alloc_median,minflt_io_median,minflt_touch_median,minflt_total_median,construct_ns,construct_minflt,prefault_ns,prefault_minflt,instructions_per_unit,cycles_per_unit
B,b2,4096,8,pinned,8,,,14128.0,291.5,1766.0,29222.0,2509.5,3652.75,,43780.0,2619.5,5472.5,,,,32613.0,0.0,8.0,,8.0,,,,,70136.10714285714,40682.80357142857
B,b2,4096,32,pinned,32,,,53083.0,831.5,1658.84375,109502.5,7324.0,3421.953125,,162440.0,8026.0,5076.25,,,,136970.5,0.0,32.0,,32.0,,,,,51302.52232142857,36608.39732142857
B,b2,4096,128,pinned,128,,,206285.0,5315.5,1611.6015625,470923.5,39617.0,3679.08984375,,688280.5,51340.0,5377.19140625,,,,544551.5,0.0,128.0,,128.0,,,,,43646.88616071428,34562.1484375
B,b2,65536,1,pinned,1,,,2039.0,40.5,2039.0,34782.5,4754.0,34782.5,,36801.5,4854.0,36801.5,,,,10324.5,0.0,16.0,,16.0,,,,,980293.7142857143,633719.7142857143
B,b2,65536,8,pinned,8,,,12233.5,175.5,1529.1875,261306.5,25138.0,32663.3125,,273600.0,24831.0,34200.0,,,,81518.5,0.0,128.0,,128.0,,,,,688926.3035714285,527247.6607142857
B,b2,65536,32,pinned,32,,,44611.5,962.0,1394.109375,1121862.0,37568.0,35058.1875,,1165898.0,39471.0,36434.3125,,,,381334.5,0.0,512.0,,512.0,,,,,680627.2991071428,530069.2455357143
B,b2,65536,128,pinned,128,,,226714.5,29521.5,1771.20703125,6470840.5,780203.0,50553.44140625,,6716838.5,815551.5,52475.30078125,,,,1691661.5,0.0,2048.0,,2048.0,,,,,676348.0345982143,530564.1941964285
B,b2,1048576,1,pinned,1,,,1803.5,60.0,1803.5,451285.5,34582.0,451285.5,,453149.5,34822.0,453149.5,,,,70491.5,0.0,256.0,,256.0,,,,,10993441.857142856,8486087.857142856
B,b2,1048576,8,pinned,8,,,20535.0,3963.0,2566.875,7283598.5,483964.0,910449.8125,,7307194.5,480787.5,913399.3125,,,,1133229.0,0.0,2048.0,,2048.0,,,,,10804458.57142857,8488940.107142856
B,b2,1048576,32,pinned,32,,,41871.5,1207.0,1308.484375,17604650.5,335951.0,550145.328125,,17645374.5,335380.0,551417.953125,,,,3022670.5,0.0,8192.0,,8192.0,,,,,10756426.799107144,8401304.99107143
B,b2,1048576,128,pinned,128,,,216871.0,9078.0,1694.3046875,94735111.0,11788901.5,740118.0546875,,94943961.0,11780920.5,741749.6953125,,,,14582326.0,0.0,32768.0,,32768.0,,,,,10750027.661830356,8413566.622767856
B,b3,4096,1,pinned,1,,,8221.0,927.0,8221.0,7965.0,1207.5,7965.0,,16662.5,992.0,16662.5,,,,11372.0,1.0,1.0,,2.0,,,,,408486.71428571426,197154.42857142858
B,b3,4096,8,pinned,8,,,33796.0,2930.0,4224.5,27343.0,2364.0,3417.875,,62873.0,5640.0,7859.125,,,,37888.5,8.0,8.0,,16.0,,,,,122868.66071428571,55605.25
B,b3,4096,32,pinned,32,,,122562.5,6588.0,3830.078125,100059.0,7414.5,3126.84375,,227867.0,14633.5,7120.84375,,,,139986.5,32.0,32.0,,64.0,,,,,55555.111607142855,37411.90178571428
B,b3,4096,128,pinned,128,,,624666.5,99327.5,4880.20703125,503061.0,87970.5,3930.1640625,,1119938.5,176777.0,8749.51953125,,,,1000186.5,128.0,128.0,,256.0,,,,,44270.67299107143,37427.685267857145
B,b3,65536,1,pinned,1,,,4248.0,105.0,4248.0,35053.0,2259.0,35053.0,,39311.0,5150.0,39311.0,,,,10295.0,1.0,16.0,,17.0,,,,,743636.1428571428,525522.2857142857
B,b3,65536,8,pinned,8,,,30990.5,1834.0,3873.8125,246313.0,9864.0,30789.125,,279577.5,9748.0,34947.1875,,,,75722.5,8.0,128.0,,136.0,,,,,748430.1785714285,548512.8571428572
B,b3,65536,32,pinned,32,,,120468.5,5165.0,3764.640625,1132808.0,54876.5,35400.25,,1253196.5,54580.5,39162.390625,,,,361336.0,32.0,512.0,,544.0,,,,,686887.7589285715,534800.5848214285
B,b3,65536,128,pinned,128,,,623024.0,80707.0,4867.375,7126654.0,1265807.0,55676.984375,,7810506.0,1333077.5,61019.578125,,,,1731425.0,128.0,2048.0,,2176.0,,,,,675026.6540178572,534599.2834821428
B,b3,1048576,1,pinned,1,,,4649.5,812.0,4649.5,508732.5,27173.0,508732.5,,513361.0,28160.0,513361.0,,,,84689.5,1.0,256.0,,257.0,,,,,11077422.285714285,8505431.285714285
B,b3,1048576,8,pinned,8,,,48328.5,6988.5,6041.0625,6012937.5,841583.0,751617.1875,,6062539.0,839910.0,757817.375,,,,1049827.5,8.0,2048.0,,2056.0,,,,,10793955.44642857,8449837.69642857
B,b3,1048576,32,pinned,32,,,129982.5,2766.0,4061.953125,17429364.0,313040.5,544667.625,,17585583.5,337759.5,549549.484375,,,,3037494.0,32.0,8192.0,,8224.0,,,,,10753365.486607144,8409119.25892857
B,b3,1048576,128,pinned,128,,,810589.5,144325.5,6332.73046875,109155488.5,12536769.5,852777.25390625,,110060026.0,12450682.5,859843.953125,,,,19672087.0,128.0,32768.0,,32896.0,,,,,10749077.354910715,8460741.627232144
C,b1,4096,1,pinned,16,16,65536,,,,47066.0,1808.5,,2941.625,,,,,,,,,0.0,,,5802,3,40,0,2226.026785714286,8352.410714285714
C,b1,4096,8,pinned,128,16,524288,,,,271391.5,1839.0,,2120.24609375,,,,,,,,,0.0,,,34998,10,40,0,2042.2299107142858,862.2667410714286
C,b1,4096,32,pinned,512,16,2097152,,,,1095115.0,20254.5,,2138.896484375,,,,,,,,,0.0,,,130463,34,200,0,1982.1615513392858,613.2709263392857
C,b1,4096,128,pinned,2048,16,8388608,,,,5137102.0,92274.5,,2508.3505859375,,,,,,,,,0.0,,,548203,130,892,0,1979.9349888392858,695.1075613839286
C,b1,65536,1,pinned,16,16,1048576,,,,387171.0,8255.5,,24198.1875,,,,,,,,,0.0,,,4629,3,31131,15,30564.3125,8674.080357142857
C,b1,65536,8,pinned,128,16,8388608,,,,3337715.5,114707.0,,26075.90234375,,,,,,,,,0.0,,,34177,10,228243,120,30429.89285714286,8486.9921875
C,b1,65536,32,pinned,512,16,33554432,,,,12987385.5,164940.0,,25365.9873046875,,,,,,,,,0.0,,,130844,34,815563,480,30421.36495535714,8009.835379464285
C,b1,65536,128,pinned,2048,16,134217728,,,,84829520.5,8038280.0,,41420.664306640625,,,,,,,,,0.0,,,814100,130,5550680,1920,30416.982561383928,10814.70542689732
C,b1,1048576,1,pinned,16,16,16777216,,,,6992243.5,260486.0,,437015.21875,,,,,,,,,0.0,,,6974,3,462427,255,485751.59821428574,116966.95535714286
C,b1,1048576,8,pinned,128,16,134217728,,,,53868013.5,511011.5,,420843.85546875,,,,,,,,,0.0,,,36060,10,3939846,2040,485504.8359375,175849.06138392858
C,b1,1048576,32,pinned,256,8,268435456,,,,104002321.5,1392354.5,,406259.068359375,,,,,,,,,0.0,,,125012,34,15158743,8160,485484.39899553574,166676.3755580357
C,b1,1048576,128,pinned,256,2,268435456,,,,105903275.0,1818040.0,,413684.66796875,,,,,,,,,0.0,,,501784,130,61725555,32640,485484.76729910716,140541.38839285713
C,b1a,4096,1,pinned,16,16,65536,,,,21481.5,536.0,,1342.59375,,,,,,,,,,,,9558,3,3236,1,2015.3482142857142,14090.035714285714
C,b1a,4096,8,pinned,128,16,524288,,,,119236.0,1332.0,,931.53125,,,,,,,,,,,,34577,10,19979,8,2000.838169642857,610.7924107142857
C,b1a,4096,32,pinned,512,16,2097152,,,,505656.5,28184.0,,987.6103515625,,,,,,,,,,,,174699,34,67381,32,1985.2449776785713,820.9274553571429
C,b1a,4096,128,pinned,2048,16,8388608,,,,2351567.5,96261.5,,1148.226318359375,,,,,,,,,,,,570187,130,291426,128,1975.796665736607,589.1395786830357
C,b1a,65536,1,pinned,16,16,1048576,,,,79599.5,3336.5,,4974.96875,,,,,,,,,,,,4669,3,31811,16,31003.071428571428,11033.50892857143
C,b1a,65536,8,pinned,128,16,8388608,,,,907420.5,73372.5,,7089.22265625,,,,,,,,,,,,31340,10,251378,128,30441.248883928572,8362.57700892857
C,b1a,65536,32,pinned,512,16,33554432,,,,3905728.5,177750.0,,7628.3759765625,,,,,,,,,,,,134551,34,1040829,512,30427.11495535714,7553.76171875
C,b1a,65536,128,pinned,2048,16,134217728,,,,25493322.0,2648043.0,,12447.9111328125,,,,,,,,,,,,566249,130,4267671,2048,30416.193429129464,7718.575474330357
C,b1a,1048576,1,pinned,16,16,16777216,,,,1996033.5,49686.5,,124752.09375,,,,,,,,,,,,8226,3,517334,256,485514.7410714286,117552.23214285714
C,b1a,1048576,8,pinned,128,16,134217728,,,,34643376.0,2445590.5,,270651.375,,,,,,,,,,,,41110,10,4778493,2048,485498.64620535716,230866.12611607142
C,b1a,1048576,32,pinned,256,8,268435456,,,,51839304.0,850753.5,,202497.28125,,,,,,,,,,,,128640,34,15861006,8192,485482.92522321426,157974.2779017857
C,b1a,1048576,128,pinned,256,2,268435456,,,,73254901.5,2356571.0,,286151.958984375,,,,,,,,,,,,948714,130,101933627,32768,485492.05915178574,262861.953125
C,b2,4096,1,pinned,16,16,65536,,,,14448.0,20.5,,903.0,,,,,,,,,,,,4639,2,2394,1,2075.410714285714,1712.7589285714287
C,b2,4096,8,pinned,128,16,524288,,,,120784.5,4869.5,,943.62890625,,,,,,,,,,,,15690,2,15500,8,2003.6529017857142,679.0357142857143
C,b2,4096,32,pinned,512,16,2097152,,,,506718.0,29176.0,,989.68359375,,,,,,,,,,,,56811,2,72881,32,1985.2017299107142,591.5719866071429
C,b2,4096,128,pinned,2048,16,8388608,,,,2360444.5,64465.5,,1152.560791015625,,,,,,,,,,,,207292,2,283911,128,1975.4127371651787,367.51011439732144
C,b2,65536,1,pinned,16,16,1048576,,,,72666.0,806.0,,4541.625,,,,,,,,,,,,3487,2,27233,16,30803.241071428572,6020.875
C,b2,65536,8,pinned,128,16,8388608,,,,900101.5,103626.0,,7032.04296875,,,,,,,,,,,,13556,2,223634,128,30419.296875,9375.332589285714
C,b2,65536,32,pinned,512,16,33554432,,,,4514374.0,427759.5,,8817.13671875,,,,,,,,,,,,79054,2,1052372,512,30424.83621651786,12738.41517857143
C,b2,65536,128,pinned,2048,16,134217728,,,,20885020.0,918737.5,,10197.763671875,,,,,,,,,,,,197944,2,3872274,2048,30416.09012276786,8211.253138950893
C,b2,1048576,1,pinned,16,16,16777216,,,,1928812.5,129486.5,,120550.78125,,,,,,,,,,,,3688,2,459231,256,485597.21428571426,120269.66964285714
C,b2,1048576,8,pinned,128,16,134217728,,,,18802721.0,1356953.0,,146896.2578125,,,,,,,,,,,,21021,2,4550230,2048,485472.50223214284,100031.24888392857
C,b2,1048576,32,pinned,256,8,268435456,,,,53436012.0,1724035.5,,208734.421875,,,,,,,,,,,,44185,2,15869602,8192,485477.78738839284,151282.65904017858
C,b2,1048576,128,pinned,256,2,268435456,,,,66910308.5,6328423.5,,261368.392578125,,,,,,,,,,,,211130,2,101527178,32768,485475.47600446426,214145.5
C,b3,4096,1,pinned,16,16,65536,,,,22118.0,882.0,,1382.375,,,,,,,,,,,,12625,3,4368,1,2477.8660714285716,1132.9107142857142
C,b3,4096,8,pinned,128,16,524288,,,,116636.0,811.0,,911.21875,,,,,,,,,,,,35750,10,19648,8,2011.9732142857142,673.1640625
C,b3,4096,32,pinned,512,16,2097152,,,,538539.5,27268.0,,1051.8349609375,,,,,,,,,,,,132177,34,66238,32,1975.892299107143,467.8671875
C,b3,4096,128,pinned,2048,16,8388608,,,,2291000.0,31581.0,,1118.65234375,,,,,,,,,,,,543053,130,266928,128,1975.825474330357,632.2337472098214
C,b3,65536,1,pinned,16,16,1048576,,,,74349.5,951.5,,4646.84375,,,,,,,,,,,,5401,3,32042,16,30712.8125,10060.160714285714
C,b3,65536,8,pinned,128,16,8388608,,,,976625.0,125243.5,,7629.8828125,,,,,,,,,,,,29898,10,241037,128,30440.412946428572,9158.426339285714
C,b3,65536,32,pinned,512,16,33554432,,,,4008763.5,133384.0,,7829.6162109375,,,,,,,,,,,,170531,34,1058804,512,30427.93191964286,7896.9765625
C,b3,65536,128,pinned,2048,16,134217728,,,,22442934.0,1032408.0,,10958.4638671875,,,,,,,,,,,,493858,130,4450335,2048,30415.235979352678,10489.949009486607
C,b3,1048576,1,pinned,16,16,16777216,,,,1930310.5,98992.5,,120644.40625,,,,,,,,,,,,10650,3,509569,256,485843.7410714286,122242.32142857143
C,b3,1048576,8,pinned,128,16,134217728,,,,18714044.5,867873.5,,146203.47265625,,,,,,,,,,,,76709,10,4380180,2048,485507.1238839286,140387.18191964287
C,b3,1048576,32,pinned,256,8,268435456,,,,52501353.5,1306564.5,,205083.412109375,,,,,,,,,,,,134240,34,15986779,8192,485479.67131696426,153726.8755580357
C,b3,1048576,128,pinned,256,2,268435456,,,,52058179.5,732676.5,,203352.263671875,,,,,,,,,,,,558023,130,66123029,32768,485473.7589285714,145946.6724330357
