arm,branch-misses_u_per_op,cache-misses_u_per_op,cycles_u_per_op,depth,instructions_u_per_op,ok,op,ops,request_size,sys_ns_per_op,user_ns_per_op,wall_ns_per_op,word_sum,write_runner_verified
z1,5.001935686383929,0.8357282366071429,444.6721627371652,1,1197.2822440011162,True,read,16384,4096,1834.9609375,0.0,1985.781494140625,3983030454986358784,
z1b,5.006565638950893,0.5007847377232143,562.8588344029018,1,1240.2665754045759,True,read,16384,4096,1935.72998046875,0.0,1904.5291137695312,3983030454986358784,
z1bw,24.859113420758927,205.85490199497767,4589.097368512835,1,1975.6469029017858,True,read,16384,4096,45753.47900390625,1288.4521484375,51299.787536621094,3983030454986358784,
z2,10.078996930803571,1.2539498465401786,1760.4705636160713,1,3827.2669939313614,True,read,16384,4096,2471.19140625,100.28076171875,2650.1520385742188,3983030454986358784,
z3w1,14.154009137834821,3.15142822265625,2843.9615216936386,1,5795.577941894531,True,read,16384,4096,2315.185546875,607.84912109375,3092.1734619140625,3983030454986358784,
z3w4,25.776384626116073,91.64333670479911,4619.662955147879,1,6731.405648367746,True,read,16384,4096,10022.4609375,2232.36083984375,5974.197326660156,3983030454986358784,
z1,3.0933925083705356,8.688956124441964,480.7959769112723,32,1089.5672869001116,True,read,16384,4096,1742.3095703125,0.0,1734.3560180664062,3983030454986358784,
z1b,3.07257080078125,6.047677176339286,361.91196986607144,32,1123.2647443498884,True,read,16384,4096,1469.482421875,231.01806640625,1785.7572631835938,3983030454986358784,
z1bw,3.8942435128348216,12.180934361049108,670.0749424525669,32,1297.7816423688616,True,read,16384,4096,3270.32470703125,616.14990234375,2718.0966796875,3983030454986358784,
z2,1.9364536830357142,6.751499720982143,1061.5112827845983,32,3112.451154436384,True,read,16384,4096,1366.14990234375,0.0,1404.05078125,3983030454986358784,
z3w1,3.0050136021205356,8.579624720982142,1433.1363525390625,32,3899.322727748326,True,read,16384,4096,1474.30419921875,0.06103515625,1504.7523193359375,3983030454986358784,
z3w4,3.158176967075893,10.736825125558036,1414.8626708984375,32,3919.5408063616073,True,read,16384,4096,2609.80224609375,0.0,1956.9288940429688,3983030454986358784,
z1,3.0703822544642856,13.080845424107142,343.2159859793527,64,1089.4776960100446,True,read,16384,4096,1867.919921875,0.0,1880.1836547851562,3983030454986358784,
z1b,3.0789097377232144,8.585885184151786,619.4296351841518,64,1123.167977469308,True,read,16384,4096,1535.888671875,240.72265625,1693.0824584960938,3983030454986358784,
z1bw,3.776515415736607,12.625688825334821,667.7543160574777,64,1296.1312691824776,True,read,16384,4096,3041.44287109375,679.01611328125,2654.955078125,3983030454986358784,
z2,1.8771275111607142,10.38348388671875,911.0660749162946,64,3211.6834106445312,True,read,16384,4096,1354.8583984375,0.0,1338.9776000976562,3983030454986358784,
z3w1,3.1240147181919644,15.659205845424108,1467.5292096819196,64,4105.417393275669,True,read,16384,4096,1103.69873046875,391.90673828125,1465.7555541992188,3983030454986358784,
z3w4,8.182460239955358,36.033115931919646,1788.4675816127233,64,4133.213300432478,True,read,16384,4096,2268.06640625,270.32470703125,1862.7857666015625,3983030454986358784,
z1,3.3931361607142856,44.10728236607143,3611.2081473214284,8,14545.14857700893,True,read,1024,65536,10125.9765625,0.0,6479.4658203125,3983030454986358784,
z1b,3.4732142857142856,37.0908203125,4446.725027901785,8,14579.245396205357,True,read,1024,65536,6465.8203125,815.4296875,7280.25,3983030454986358784,
z1bw,5.879185267857143,71.46023995535714,4248.576729910715,8,14786.732840401786,True,read,1024,65536,11325.1953125,0.0,8471.458984375,3983030454986358784,
z2,2.3634207589285716,65.19029017857143,4194.474051339285,8,16552.32589285714,True,read,1024,65536,5884.765625,0.0,6263.9990234375,3983030454986358784,
z3w1,4.061383928571429,123.68931361607143,5275.136858258928,8,17380.27371651786,True,read,1024,65536,4784.1796875,1966.796875,6743.2099609375,3983030454986358784,
z3w4,9.317661830357142,160.86063058035714,5993.783761160715,8,17516.383370535714,True,read,1024,65536,8254.8828125,3676.7578125,9381.0751953125,3983030454986358784,
z1,9.183035714285714,4608.044642857143,443538.88895089284,8,229598.078125,True,read,256,1048576,958324.21875,78242.1875,447340.62890625,15932121819945435136,
z1b,8.739955357142858,2798.6222098214284,404548.20758928574,8,229631.62276785713,True,read,256,1048576,432820.3125,108929.6875,461766.62890625,15932121819945435136,
z1bw,37.329799107142854,-366.64564732142856,260655.21651785713,8,230155.55357142858,True,read,256,1048576,435085.9375,66218.75,472061.828125,15932121819945435136,
z2,16.477120535714285,615.9486607142857,259747.58816964287,8,231607.1791294643,True,read,256,1048576,330050.78125,126835.9375,427226.0546875,15932121819945435136,
z3w1,16.795200892857142,925.5636160714286,226423.0267857143,8,232468.1791294643,True,read,256,1048576,332222.65625,92332.03125,424558.73046875,15932121819945435136,
z3w4,30.132254464285715,1297.49609375,206485.57645089287,8,233009.73325892858,True,read,256,1048576,409269.53125,46527.34375,428378.3203125,15932121819945435136,
z1,9.381025041852679,128.25547572544642,2282.57266671317,1,715.2754429408482,True,write,16384,4096,49421.0205078125,394.287109375,56954.142333984375,0,True
z1b,7.30194091796875,66.637939453125,2209.9657767159597,1,746.2571062360491,True,write,16384,4096,66564.02587890625,566.34521484375,68493.57220458984,0,True
z1bw,29.536045619419642,377.4688459123884,6690.233877999442,1,1482.6424996512276,True,write,16384,4096,159499.51171875,3972.5341796875,81628.26123046875,0,True
z2,48.32502964564732,310.9033639090402,5959.739057268415,1,4107.423575265067,True,write,16384,4096,48316.5283203125,2105.5908203125,54141.97528076172,0,True
z3w1,71.9061279296875,454.8694283621652,9837.984008789062,1,8477.583217075893,True,write,16384,4096,53849.30419921875,2939.02587890625,60817.631774902344,0,True
z3w4,80.06529889787946,498.732666015625,11226.957781110492,1,9526.629211425781,True,write,16384,4096,52188.232421875,4366.8212890625,59748.072814941406,0,True
z1,2.639125279017857,51.295540945870535,757.3488507952009,32,610.132080078125,True,write,16384,4096,4886.16943359375,1045.34912109375,2924.5093383789062,0,True
