r1-0000,13237150.0,42304543.0,2040.4
r1-0001,45204972.0,121983962.0,2244.28
r1-0002,126028646.0,206770887.0,2913.14
r1-0003,982443668.0,1223434146.0,4475.19
r1-0004,87581208.0,214101081.0,2600.43
r1-0005,7957981.0,22440695.0,1878.14
r1-0006,18241003.0,55991566.0,1912.59
r1-0007,24025720.0,78829822.0,2051.16
r1-0008,249194465.0,315236857.0,3059.72
r1-0009,511275792.0,671342905.0,4624.26
r1-0010,495512881.0,621081710.0,4163.01
r1-0011,10776026.0,32435713.0,1790.33
r1-0012,493396821.0,623374656.0,4302.41
r1-0013,13108944.0,39915742.0,1784.49
r1-0014,8067179.0,29298992.0,1883.16
r1-0015,251307551.0,320085593.0,3084.39
r1-0016,18409092.0,62243218.0,1950.32
r1-0017,10552576.0,33028236.0,1805.85
r1-0018,64978272.0,129037530.0,2494.99
r1-0019,85691034.0,145541518.0,2539.72
r1-0020,1019711254.0,1340435693.0,7092.39
r1-0021,166419059.0,248332118.0,2979.41
r1-0022,33498292.0,94618115.0,2087.23
r1-0023,7132577.0,20911735.0,1741.26
r1-0024,34609068.0,96383682.0,2120.59
r1-0025,23591845.0,71793908.0,2038.35
r1-0026,18718444.0,57730754.0,2351.47
r1-0027,13057412.0,37955339.0,2363.22
r1-0028,125494417.0,173120375.0,3115.47
r1-0029,23390056.0,71639946.0,2527.0
r1-0030,13429078.0,40511528.0,2268.86
r1-0031,33644079.0,93079832.0,2641.65
r1-0032,10506560.0,29811394.0,2322.32
r1-0033,7622940.0,29086501.0,2437.16
r1-0034,257053581.0,409274901.0,4357.98
r1-0035,172318530.0,279526471.0,3344.75
r1-0036,168521927.0,240873014.0,3509.95
r1-0037,248138980.0,334033932.0,3784.71
r1-0038,64157638.0,125764276.0,3004.23
r1-0039,984158263.0,1213403443.0,6868.48
r1-0040,7988400.0,24998049.0,2178.94
r1-0041,127118702.0,199335828.0,3399.73
r1-0042,43720536.0,119854083.0,2727.93
r1-0043,8138336.0,22871834.0,2250.04
r1-0044,44280098.0,115120440.0,2671.85
r1-0045,129942224.0,307933058.0,3490.09
r1-0046,43902280.0,118091963.0,2819.86
r1-0047,84610153.0,130837989.0,2916.15
r1-0048,10644254.0,36482354.0,2467.84
r1-0049,33920515.0,97576296.0,2745.43
r1-0050,23283400.0,68995984.0,2569.62
r1-0051,64440633.0,131014558.0,3003.66
r1-0052,84968736.0,145314531.0,3047.54
r1-0053,8604520.0,36610180.0,2401.34
r1-0054,18166909.0,53888469.0,2500.38
r1-0055,7032996.0,20272909.0,2322.31
r1-0056,499750047.0,665291131.0,4746.71
r1-0057,66385909.0,171276631.0,3051.66
r1-0058,167106214.0,251066717.0,3486.62
r1-0059,983736645.0,1255288889.0,7128.58
