phase,arm,size,slots,regime,ops_per_rep,kc,window_bytes,alloc_ns_median,alloc_ns_mad,alloc_ns_per_buffer,io_ns_median,io_ns_mad,io_ns_per_first_read,io_ns_per_op,total_to_first_io_ns_median,total_to_first_io_ns_mad,total_to_first_io_ns_per_buffer,touch_ns_median,touch_ns_mad,touch_ns_per_page,destroy_ns_median,minflt_alloc_median,minflt_io_median,minflt_touch_median,minflt_total_median,construct_ns,construct_minflt,prefault_ns,prefault_minflt,instructions_per_unit,cycles_per_unit
B,b3,65536,128,pinned,128,,,460473.5,14958.5,3597.44921875,5058270.5,337530.5,39517.73828125,,5541087.0,358155.0,43289.7421875,,,,1657706.5,128.0,2048.0,,2176.0,,,,,674818.0970982143,528805.25
B,b3,1048576,1,pinned,1,,,3982.5,395.5,3982.5,418502.0,35023.0,418502.0,,422820.0,35127.5,422820.0,,,,65747.5,1.0,256.0,,257.0,,,,,10961995.57142857,8482900.285714285
B,b3,1048576,8,pinned,8,,,31340.5,1492.5,3917.5625,4169698.0,125884.0,521212.25,,4204004.5,121981.5,525500.5625,,,,739750.5,8.0,2048.0,,2056.0,,,,,10768494.410714285,8418819.5
B,b3,1048576,32,pinned,32,,,152365.5,14268.5,4761.421875,20609182.0,2604976.0,644036.9375,,20748978.0,2654046.5,648405.5625,,,,3464928.0,32.0,8192.0,,8224.0,,,,,10755377.174107144,8486608.3125
B,b3,1048576,128,pinned,128,,,572776.5,23029.5,4474.81640625,76749723.0,825430.5,599607.2109375,,77327074.0,833045.5,604117.765625,,,,12479202.0,128.0,32768.0,,32896.0,,,,,10753154.645089285,8417359.45982143
C,b0,4096,1,pinned,16,16,65536,,,,26461.0,20.0,,1653.8125,,,,,,,,,,,,7044,4,20,0,1981.455357142857,797.6339285714286
C,b0,4096,8,pinned,128,16,524288,,,,221390.0,2986.5,,1729.609375,,,,,,,,,,,,44406,18,30,0,2012.825892857143,806.2589285714286
C,b0,4096,32,pinned,512,16,2097152,,,,977036.0,12084.0,,1908.2734375,,,,,,,,,,,,191672,66,140,0,1977.3931361607142,450.6939174107143
C,b0,4096,128,pinned,2048,16,8388608,,,,3681580.5,69370.0,,1797.646728515625,,,,,,,,,,,,588372,227,612,0,1974.9131556919642,469.0303431919643
C,b0,65536,1,pinned,16,16,1048576,,,,332926.5,10375.0,,20807.90625,,,,,,,,,,,,35949,19,201,0,30889.375,13489.151785714286
C,b0,65536,8,pinned,128,16,8388608,,,,2923083.0,151449.0,,22836.5859375,,,,,,,,,,,,276417,138,621,0,30423.501116071428,5884.138392857143
C,b0,65536,32,pinned,512,16,33554432,,,,11816740.0,291015.0,,23079.5703125,,,,,,,,,,,,1009369,546,6863,0,30426.382254464286,6482.955915178572
C,b0,65536,128,pinned,2048,16,134217728,,,,52470146.5,1653239.5,,25620.188720703125,,,,,,,,,,,,4816857,2177,34086,0,30413.87325613839,6824.415108816965
C,b0,1048576,1,pinned,16,16,16777216,,,,6274269.5,76979.5,,392141.84375,,,,,,,,,,,,412601,259,1333,0,485807.2589285714,67279.25
C,b0,1048576,8,pinned,128,16,134217728,,,,61537046.5,3850910.5,,480758.17578125,,,,,,,,,,,,4480526,2058,67691,0,485489.16741071426,250708.7142857143
C,b0,1048576,32,pinned,256,8,268435456,,,,287934832.0,45507275.0,,1124745.4375,,,,,,,,,,,,727353736,8226,205298,0,485480.20089285716,351720.8722098214
C,b0,1048576,128,pinned,256,2,268435456,,,,107922577.0,1696621.0,,421572.56640625,,,,,,,,,,,,74978051,32899,1100095,0,485477.48102678574,117070.54073660714
C,b1,4096,1,pinned,16,16,65536,,,,26241.0,10.0,,1640.0625,,,,,,,,,0.0,,,4118,3,40,0,2493.8928571428573,-3776.3125
C,b1,4096,8,pinned,128,16,524288,,,,212467.5,2815.5,,1659.90234375,,,,,,,,,0.0,,,31280,10,50,0,2027.8973214285713,603.03125
C,b1,4096,32,pinned,512,16,2097152,,,,951822.5,34206.5,,1859.0283203125,,,,,,,,,0.0,,,119332,34,271,0,1983.886997767857,678.4475446428571
C,b1,4096,128,pinned,2048,16,8388608,,,,4009527.0,107784.0,,1957.77685546875,,,,,,,,,0.0,,,436006,130,661,0,1973.804478236607,483.17905970982144
C,b1,65536,1,pinned,16,16,1048576,,,,334634.5,9744.0,,20914.65625,,,,,,,,,0.0,,,4949,3,24147,15,30586.60714285714,3055.160714285714
C,b1,65536,8,pinned,128,16,8388608,,,,2922522.5,98110.5,,22832.20703125,,,,,,,,,0.0,,,30819,10,203886,120,30408.520089285714,6355.041294642857
